poolKey,type,catalogId,name,qtyMin,qtyMax,chancePct,prompt,negative
alpine_harvest_t3,food,highland_grub_haunch,Окорок горного трутня,1,2,73,"Concept ""Окорок горного трутня"", monster harvest butcher fantasy — chitinous grub haunch segmented meat pale marrow seam fantasy insect quarry cut, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood alpine pack-beast alpha musk trophy read, tier 3 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
alpine_harvest_t3,food,game_meat_rich,Плотная дичь,1,2,58,"Concept ""Плотная дичь"", monster harvest butcher fantasy — dense haunch steak marbling sinew ribbons field salt, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood alpine pack-beast alpha musk trophy read, tier 3 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
alpine_harvest_t3,material,avian_keel_bone,Киль птицеящера,1,1,53,"Concept ""Киль птицеящера"", fantasy harvest material — lightweight beast bone keel ridge marrow hollow, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, alpine pack-beast alpha musk trophy read atmosphere, tier 3 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
alpine_harvest_t3,material,herb_healing,Целебный лист,1,2,45,"Concept ""Целебный лист"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, alpine pack-beast alpha musk trophy read atmosphere, tier 3 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
apex_slice_t4,food,wyvern_stringy_cut,Нарезка с виверны,1,3,80,"Concept ""Нарезка с виверны"", monster harvest butcher fantasy — dense haunch steak marbling sinew ribbons field salt, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood wyvern drake trophy scales sinew resin elite quarry, tier 4 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
apex_slice_t4,material,wyvern_sinew_filament,Жилье виверны,1,1,58,"Concept ""Жилье виверны"", fantasy harvest material — fibrous tendon coil stripped sinew filament spool cue, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wyvern drake trophy scales sinew resin elite quarry atmosphere, tier 4 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
apex_slice_t4,material,predator_resin_mass,Смоляная пробка хищника,1,1,45,"Concept ""Смоляная пробка хищника"", fantasy harvest material — dark amber resin plug predator gum cluster, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wyvern drake trophy scales sinew resin elite quarry atmosphere, tier 4 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
apex_slice_t4,material,drake_scale,Чешуя дрейка,1,2,39,"Concept ""Чешуя дрейка"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wyvern drake trophy scales sinew resin elite quarry atmosphere, tier 4 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
beast_lord_t7,food,wyvern_stringy_cut,Нарезка с виверны,4,6,85,"Concept ""Нарезка с виверны"", monster harvest butcher fantasy — dense haunch steak marbling sinew ribbons field salt, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood beast-lord mantle layered hides glands legendary, tier 7 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
beast_lord_t7,material,wyvern_hide,Шкура виверны,1,2,81,"Concept ""Шкура виверны"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, beast-lord mantle layered hides glands legendary atmosphere, tier 7 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
