id,name,tier,satiety,hydration,value,harvestPools,prompt,promptHarvest,negative
boiled_roots,Отвар корней,1,14,8,1,,"Concept ""Отвар корней"", fantasy edible dish photograph —  balanced solids and hydration cues, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
bread,Хлеб,1,15,5,1,,"Concept ""Хлеб"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
cheese,Сыр,1,12,3,2,,"Concept ""Сыр"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
cooked_stew,Тушёное мясо,1,30,10,4,,"Concept ""Тушёное мясо"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
dried_meat,Вяленое мясо,1,20,0,3,,"Concept ""Вяленое мясо"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
dwarf_brew,Гномье пиво,1,8,20,4,,"Concept ""Гномье пиво"", fantasy edible dish photograph —  emphasis on steam mug / jug / soup moisture shimmer, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
field_stew,Полевое жаркое,1,34,12,5,,"Concept ""Полевое жаркое"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
fresh_meat,Свежее мясо,1,25,5,2,,"Concept ""Свежее мясо"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
game_meat_raw,Сырая дичь,1,18,3,2,predator_scrap_t1;vermin_bundle_t1,"Concept ""Сырая дичь"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1","Concept ""Сырая дичь"", fantasy RPG monster harvest food icon — thick haunch marbling sinew ribbons coarse salt flake, butcher stone or stained board oiled rag NOT banquet china twine wrap, muted tavern staples, hearth smoke undertone tier 1 quarry, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, gritty rim hunter camp light warm amber candlelight --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
mushroom_soup,Грибной суп,1,25,15,3,,"Concept ""Грибной суп"", fantasy edible dish photograph —  balanced solids and hydration cues, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
