id,name,tier,effect,power,prompt,negative
antidote_weak,Слабое противоядие,1,curePoison,1,"Concept ""Слабое противоядие"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: cleansing green shimmer neutralizing toxins, liquid appearance: murky russet suspension, sediment at bottom, vessel: cheap blown glass, none, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
minor_heal,Малое зелье лечения,1,healHP,3,"Concept ""Малое зелье лечения"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: murky russet suspension, sediment at bottom, vessel: cheap blown glass, none, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
minor_energy,Малое зелье бодрости,1,restoreEnergy,4,"Concept ""Малое зелье бодрости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: lightning stamina surge, brisk vitality, liquid appearance: murky russet suspension, sediment at bottom, vessel: cheap blown glass, none, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
minor_energy_max,Малый тоник бодрости,1,restoreEnergyMax,2,"Concept ""Малый тоник бодрости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: expanded lung-heart endurance reservoir, liquid appearance: murky russet suspension, sediment at bottom, vessel: cheap blown glass, none, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
water_flask,Фляга чистой воды,1,restoreHydration,20,"Concept ""Фляга чистой воды"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: crisp mountain spring clarity, liquid appearance: murky russet suspension, sediment at bottom, vessel: cheap blown glass, none, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
heal_potion,Зелье лечения,2,healHP,8,"Concept ""Зелье лечения"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: clear amber serum, vessel: simple flask with cork, very faint inner shimmer, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
energy_potion,Зелье бодрости,2,restoreEnergy,10,"Concept ""Зелье бодрости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: lightning stamina surge, brisk vitality, liquid appearance: clear amber serum, vessel: simple flask with cork, very faint inner shimmer, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
energy_potion_max,Тоник выносливости,2,restoreEnergyMax,5,"Concept ""Тоник выносливости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: expanded lung-heart endurance reservoir, liquid appearance: clear amber serum, vessel: simple flask with cork, very faint inner shimmer, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
mana_potion,Зелье маны,2,restoreMana,8,"Concept ""Зелье маны"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: arcane reservoir refill, whispering sparks, liquid appearance: clear amber serum, vessel: simple flask with cork, very faint inner shimmer, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
speed_potion,Зелье скорости,2,speedBoost,2,"Concept ""Зелье скорости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wind-cut streak motes, kinetic hurry readiness, liquid appearance: clear amber serum, vessel: simple flask with cork, very faint inner shimmer, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
