catalog,id,name,tier,type,gridW,gridH,aspect,targetFile,targetImg,targetExists,currentImg,prompt,negative
armor,leather_boots,Кожаные сапоги,1,armor,2,3,1:1,icons/items/armor/leather_boots.webp,systems/iron-hills-system/icons/items/armor/leather_boots.webp,true,systems/iron-hills-system/icons/items/armor/leather_boots.webp,"Concept art for ""Кожаные сапоги"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,leather_bracer_left,Кожаный наруч (л),1,armor,1,2,1:2,icons/items/armor/leather_bracer_left.webp,systems/iron-hills-system/icons/items/armor/leather_bracer_left.webp,true,systems/iron-hills-system/icons/items/armor/leather_bracer_left.webp,"Concept art for ""Кожаный наруч (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,leather_bracer_right,Кожаный наруч (п),1,armor,1,2,1:2,icons/items/armor/leather_bracer_right.webp,systems/iron-hills-system/icons/items/armor/leather_bracer_right.webp,true,systems/iron-hills-system/icons/items/armor/leather_bracer_right.webp,"Concept art for ""Кожаный наруч (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,leather_cap,Кожаная шапка,1,armor,2,2,1:1,icons/items/armor/leather_cap.webp,systems/iron-hills-system/icons/items/armor/leather_cap.webp,true,systems/iron-hills-system/icons/items/armor/leather_cap.webp,"Concept art for ""Кожаная шапка"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,leather_gloves,Кожаные перчатки,1,armor,1,2,1:2,icons/items/armor/leather_gloves.webp,systems/iron-hills-system/icons/items/armor/leather_gloves.webp,true,systems/iron-hills-system/icons/items/armor/leather_gloves.webp,"Concept art for ""Кожаные перчатки"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,leather_gorget,Кожаный горжет,1,armor,1,1,1:1,icons/items/armor/leather_gorget.webp,systems/iron-hills-system/icons/items/armor/leather_gorget.webp,true,systems/iron-hills-system/icons/items/armor/leather_gorget.webp,"Concept art for ""Кожаный горжет"", a single fantasy gorget / neck guard collar armor piece, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,leather_jacket,Кожаная куртка,1,armor,2,3,1:1,icons/items/armor/leather_jacket.webp,systems/iron-hills-system/icons/items/armor/leather_jacket.webp,true,systems/iron-hills-system/icons/items/armor/leather_jacket.webp,"Concept art for ""Кожаная куртка"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,wooden_shield,Деревянный щит,1,armor,2,2,1:1,icons/items/armor/wooden_shield.webp,systems/iron-hills-system/icons/items/armor/wooden_shield.webp,true,systems/iron-hills-system/icons/items/armor/wooden_shield.webp,"Concept art for ""Деревянный щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,chain_gorget,Кольчужный горжет,2,armor,1,1,1:1,icons/items/armor/chain_gorget.webp,systems/iron-hills-system/icons/items/armor/chain_gorget.webp,true,systems/iron-hills-system/icons/items/armor/chain_gorget.webp,"Concept art for ""Кольчужный горжет"", a single fantasy gorget / neck guard collar armor piece, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,chain_leggings,Кольчужные поножи,2,armor,2,3,1:1,icons/items/armor/chain_leggings.webp,systems/iron-hills-system/icons/items/armor/chain_leggings.webp,true,systems/iron-hills-system/icons/items/armor/chain_leggings.webp,"Concept art for ""Кольчужные поножи"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,chain_sleeves_left,Кольчужный рукав (л),2,armor,1,2,1:2,icons/items/armor/chain_sleeves_left.webp,systems/iron-hills-system/icons/items/armor/chain_sleeves_left.webp,true,systems/iron-hills-system/icons/items/armor/chain_sleeves_left.webp,"Concept art for ""Кольчужный рукав (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,chain_sleeves_right,Кольчужный рукав (п),2,armor,1,2,1:2,icons/items/armor/chain_sleeves_right.webp,systems/iron-hills-system/icons/items/armor/chain_sleeves_right.webp,true,systems/iron-hills-system/icons/items/armor/chain_sleeves_right.webp,"Concept art for ""Кольчужный рукав (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,chainmail,Кольчуга,2,armor,2,3,1:1,icons/items/armor/chainmail.webp,systems/iron-hills-system/icons/items/armor/chainmail.webp,true,systems/iron-hills-system/icons/items/armor/chainmail.webp,"Concept art for ""Кольчуга"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,chainmail_coif,Кольчужный капюшон,2,armor,2,2,1:1,icons/items/armor/chainmail_coif.webp,systems/iron-hills-system/icons/items/armor/chainmail_coif.webp,true,systems/iron-hills-system/icons/items/armor/chainmail_coif.webp,"Concept art for ""Кольчужный капюшон"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,iron_shield,Железный щит,2,armor,2,2,1:1,icons/items/armor/iron_shield.webp,systems/iron-hills-system/icons/items/armor/iron_shield.webp,true,systems/iron-hills-system/icons/items/armor/iron_shield.webp,"Concept art for ""Железный щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,kite_shield,Рыцарский щит,3,armor,2,2,1:1,icons/items/armor/kite_shield.webp,systems/iron-hills-system/icons/items/armor/kite_shield.webp,true,systems/iron-hills-system/icons/items/armor/kite_shield.webp,"Concept art for ""Рыцарский щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, crafted from polished steel plates, articulated lames, leather straps, simple etchings, knight-issue half plate, well-maintained soldier kit, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, forge embers glow in background --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,plate_arms_left,Стальной наруч (л),3,armor,1,2,1:2,icons/items/armor/plate_arms_left.webp,systems/iron-hills-system/icons/items/armor/plate_arms_left.webp,true,systems/iron-hills-system/icons/items/armor/plate_arms_left.webp,"Concept art for ""Стальной наруч (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), crafted from polished steel plates, articulated lames, leather straps, simple etchings, knight-issue half plate, well-maintained soldier kit, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, forge embers glow in background --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
