category,id,name,tier,effect,gridW,gridH,aspect,resolution,prompt,negative
consumables,antiseptic_wash,Антисептический раствор,1,cureDisease,1,1,1:1,1024x1024,"Concept ""Антисептический раствор"", antiseptic wash bottle, blue glass, waxed label blank, herbal sediment and clean cloth wrap, infection cleansing, antiseptic blue clarity, herbal purity, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,clean_dressing,Чистая повязка,1,reduceBleeding,1,1,1:1,1024x1024,"Concept ""Чистая повязка"", rolled field bandage and folded dressing bundle, red wax seal, clean linen texture, blood control, clean pressure dressing, practical battlefield first aid, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,field_bandage,Полевой бинт,1,reduceBleeding,1,1,1:1,1024x1024,"Concept ""Полевой бинт"", rolled field bandage and folded dressing bundle, red wax seal, clean linen texture, blood control, clean pressure dressing, practical battlefield first aid, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,leather_waterskin,Кожаная фляга,1,vessel,1,1,1:1,1024x1024,"Concept ""Кожаная фляга"", leather waterskin with cork stopper, stitched seams, small water bead highlights, survival utility, practical fantasy expedition medicine, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,splint,Шина,1,splint,1,2,1:2,768x1536,"Concept ""Шина"", wooden splint pair tied with linen straps, bone pins and soft padding visible, fracture stabilization, rigid supports, recovery after crushing hit, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, vertical compact object framing, 768x1536, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,tourniquet,Жгут,1,tourniquet,1,1,1:1,1024x1024,"Concept ""Жгут"", compact leather tourniquet strap with brass windlass and buckle, coiled readable silhouette, major bleeding control, urgent limb stabilization, rugged and reliable, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,clotting_powder,Свёртывающий порошок,2,stopMinorBleeding,1,1,1:1,1024x1024,"Concept ""Свёртывающий порошок"", hemostatic cloth packet and clotting powder sachet, sealed field-medic pouch, instant clotting, powder dust, alchemical seal against bleeding, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,field_suture_roll,Полевая шовная скрутка,2,bandage,1,1,1:1,1024x1024,"Concept ""Полевая шовная скрутка"", suture roll with curved needle, clean thread spool, tiny brass needle case, precise stitching and wound closure, calm professional treatment, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,hemostatic_pack,Кровоостанавливающий пакет,2,stopMinorBleeding,1,1,1:1,1024x1024,"Concept ""Кровоостанавливающий пакет"", hemostatic cloth packet and clotting powder sachet, sealed field-medic pouch, instant clotting, powder dust, alchemical seal against bleeding, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
consumables,iron_canteen,Железная фляга,2,vessel,1,1,1:1,1024x1024,"Concept ""Железная фляга"", iron canteen with leather strap, dented field metal, screw cap, survival utility, practical fantasy expedition medicine, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
