category,id,name,tier,school,damageType,aoeType,aoeShape,gridW,gridH,aspect,resolution,prompt,negative
spells,fire_bolt,Огненный Bolt,1,fire,fire,,,1,1,1:1,1024x1024,"Concept ""Огненный Bolt"", spell icon for fire magic, orange-red flame, ember sparks, blackened rim, molten core, single-target magical projectile or focused spell sigil, pure spell energy, readable magical purpose, rank 1, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,ice_shard,Ледяной Осколок,1,ice,ice,,,1,1,1:1,1024x1024,"Concept ""Ледяной Осколок"", spell icon for ice magic, cyan frost crystals, cold mist, sharp translucent shards, single-target magical projectile or focused spell sigil, condition cue: slowed, visually embedded as small runic accent, rank 1, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,shadow_bolt,Тёмный Заряд,1,shadow,shadow,,,1,1,1:1,1024x1024,"Concept ""Тёмный Заряд"", spell icon for shadow magic, deep violet-black void energy, smoke wisps, cracked darkness, single-target magical projectile or focused spell sigil, condition cue: exposed, visually embedded as small runic accent, rank 1, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,stone_throw,Бросок Камня,1,earth,physical,,,1,1,1:1,1024x1024,"Concept ""Бросок Камня"", spell icon for earth magic, stone, ochre dust, cracked ground glyph, heavy mineral fragments, single-target magical projectile or focused spell sigil, condition cue: stunned, visually embedded as small runic accent, rank 1, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,burning_hands,Горящие руки,2,fire,fire,blast,cone,1,1,1:1,1024x1024,"Concept ""Горящие руки"", spell icon for fire magic, orange-red flame, ember sparks, blackened rim, molten core, fan-shaped cone burst, wide front edge, clear directional sweep, condition cue: burning, visually embedded as small runic accent, rank 2, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,holy_smite,Праведный Удар,2,light,holy,,,1,1,1:1,1024x1024,"Concept ""Праведный Удар"", spell icon for light magic, white-gold sacred radiance, clean rays, pearl glow, single-target magical projectile or focused spell sigil, pure spell energy, readable magical purpose, rank 2, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,lightning_bolt_spell,Молния,2,lightning,lightning,pierce,ray,1,1,1:1,1024x1024,"Concept ""Молния"", spell icon for lightning magic, blue-white lightning forks, copper-gold charge, electric halo, long narrow ray or lance of magic crossing the icon diagonally, condition cue: stunned, visually embedded as small runic accent, rank 2, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,slow_spell,Замедление,2,mind,none,,,1,1,1:1,1024x1024,"Concept ""Замедление"", spell icon for mind magic, violet psychic rings, thought-wave distortion, subtle eye-like geometry, single-target magical projectile or focused spell sigil, constricting aura, downward pressure, hostile control magic, rank 2, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,haste_spell,Ускорение,3,mind,none,,,1,1,1:1,1024x1024,"Concept ""Ускорение"", spell icon for mind magic, violet psychic rings, thought-wave distortion, subtle eye-like geometry, single-target magical projectile or focused spell sigil, empowering aura, upward motion, quickened rhythm, rank 3, field-proven adventurer gear, reinforced details, readable silhouette, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,healing_wave,Волна Исцеления,3,light,healing,nova,circle,1,1,1:1,1024x1024,"Concept ""Волна Исцеления"", spell icon for light magic, white-gold sacred radiance, clean rays, pearl glow, radial nova ring expanding outward from a bright center, healing energy, gentle restorative pulse, no injury gore, rank 3, field-proven adventurer gear, reinforced details, readable silhouette, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
