id,name,tier,skill,twoHanded,gridW,gridH,aspect,resolution,prompt,negative
copper_axe,Медный топор,1,axe,false,1,2,1:2,768x1536,"Concept of ""Медный топор"", a single fantasy hand axe, single-bit head, wooden haft, iron banding, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
short_bow,Короткий лук,1,bow,true,1,3,1:3,512x1536,"Concept of ""Короткий лук"", a single fantasy longbow, recurve limbs, drawstring, no arrow nocked, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, dim warm campfire light --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
hand_crossbow,Ручной арбалет,1,crossbow,true,1,2,1:2,768x1536,"Concept of ""Ручной арбалет"", a single fantasy crossbow, wooden tiller with steel limbs, intricate trigger mechanism, no bolt loaded, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
wooden_staff,Деревянный посох,1,exotic,true,1,4,1:4,384x1536,"Concept of ""Деревянный посох"", a single fantasy wizard's staff, tall straight pole, ornamented head, no orb floating, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, dim warm campfire light --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
copper_knife,Медный нож,1,knife,false,1,2,1:2,768x1536,"Concept of ""Медный нож"", a single fantasy combat knife / dagger, leaf-shaped blade, full tang, leather-wrapped grip, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
copper_mace,Медная булава,1,mace,false,1,2,1:2,768x1536,"Concept of ""Медная булава"", a single fantasy mace, flanged head, short metal haft, leather grip, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
copper_spear,Медное копьё,1,spear,true,1,4,1:4,384x1536,"Concept of ""Медное копьё"", a single fantasy spear, long straight shaft, leaf-shaped spearhead, bound with leather strap, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, dim warm campfire light --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
copper_sword,Медный меч,1,sword,false,1,3,1:3,512x1536,"Concept of ""Медный меч"", a single fantasy arming sword, straight double-edged blade, cross guard, leather-wrapped grip, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, dim warm campfire light --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
throwing_stones,Метательные камни,1,throwing,false,1,1,1:1,1024x1024,"Concept of ""Метательные камни"", a set of three fantasy throwing daggers / chakrams arranged in a fan, balanced, identical, made of rough copper, crude bronze, untreated wood, tied with sinew, worn, scratched, chipped edge, peasant militia tool, fan layout, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_axe,Бронзовый топор,2,axe,false,1,2,1:2,768x1536,"Concept of ""Бронзовый топор"", a single fantasy hand axe, single-bit head, wooden haft, iron banding, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
