id,name,tier,lootPool,lootSummaryRu,prompt,negative
"ash_rot_mites","Гнильный рой‑клещ","1","vermin_bundle_t1","Сырая дичь ~70%; Пыльца ночных мотыльков ~44%; Осколок клыка ~36%; Жильё зверя ~19%","Concept of ""Гнильный рой‑клещ"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Слизистый многоножковый рой из пепельных отвалов; мало мяса, годны для простых реагентов; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 1 encounter presence, grimy scavenger prey, soot and mud, campfire rim light, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"briar_rat_boss","Крысиный вожак колючника","1","predator_scrap_t1","Сырая дичь ~64%; Небольшая шкура (сырая) ~51%; Шкура зверя ~36%; Жильё зверя ~19%","Concept of ""Крысиный вожак колючника"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Стаейный падальщик дорогих кустарников; шкура в грязи, но узнаваема; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 1 encounter presence, grimy scavenger prey, soot and mud, campfire rim light, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"scrap_hound_runner","Хламовый гончар","1","predator_scrap_t1","Сырая дичь ~64%; Небольшая шкура (сырая) ~51%; Шкура зверя ~36%; Жильё зверя ~19%","Concept of ""Хламовый гончар"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Полудикая собака шахтёрских отвалов, чует руду по старому железу; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 1 encounter presence, grimy scavenger prey, soot and mud, campfire rim light, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"fen_slitherer","Топкая змеень","2","wetland_glean_t2","Сырое филе змея ~58%; Плотная дичь ~58%; Слабая змеиная желчь ~33%; Болотный гриб ~23%","Concept of ""Топкая змеень"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Низкая змея топей; желчь слабеет на солнце; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 2 encounter presence, dangerous predator, damp atmosphere, moss and grit, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"peat_adder_pair","Торфяной гремучник","2","wetland_glean_t2","Сырое филе змея ~58%; Плотная дичь ~58%; Слабая змеиная желчь ~33%; Болотный гриб ~23%","Concept of ""Торфяной гремучник"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Пара охотничьего размера с ядовитыми узорами между чешуйками; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 2 encounter presence, dangerous predator, damp atmosphere, moss and grit, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"tunnel_fung_batch","Рой шахтёрской мерзости","2","vermin_bundle_t1","Сырая дичь ~70%; Пыльца ночных мотыльков ~44%; Осколок клыка ~36%; Жильё зверя ~19%","Concept of ""Рой шахтёрской мерзости"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Сгусток гриба и камня живёт у малых узлов маны под шахтой; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 2 encounter presence, dangerous predator, damp atmosphere, moss and grit, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"root_gnaw_bear","Корнеед‑медвежий","3","brute_carve_t2","Плотная дичь ~64%; Толстая шкура ~48%; Кольца из щетины кабана ~39%; Осколок клыка ~19%","Concept of ""Корнеед‑медвежий"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Пухлый падальщик меж корней; шкуры грубы, но питательны; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 3 encounter presence, alpha beast, sharper details, dusk tension, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"marsh_beta_wolf","Болотный вожак‑волк","3","pack_leader_t3","Плотная дичь ~83%; Железа вожака ~66%; Чешуйчатая шкура ~39%; Железа монстра ~27%","Concept of ""Болотный вожак‑волк"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Вожак стаи; железы сильнее обычного дичка; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 3 encounter presence, alpha beast, sharper details, dusk tension, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"glade_longtooth","Полевой длиннозуб","3","pack_leader_t3","Плотная дичь ~83%; Железа вожака ~66%; Чешуйчатая шкура ~39%; Железа монстра ~27%","Concept of ""Полевой длиннозуб"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Прыгуны лесных полян; охотники ценят сухожилия; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 3 encounter presence, alpha beast, sharper details, dusk tension, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"wyvern_fledgling","Виверн‑птенец","4","apex_slice_t4","Нарезка с виверны ~80%; Жилье виверны ~58%; Смоляная пробка хищника ~45%; Чешуя дрейка ~39%","Concept of ""Виверн‑птенец"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Молодые крылатые падальщики; чешуя пока нежнее взрослой; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 4 encounter presence, monster trophy beast, heroic scale creep, colder highlights, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"rustfang_worg_band","Стая ржавых клыков","4","apex_slice_t4","Нарезка с виверны ~80%; Жилье виверны ~58%; Смоляная пробка хищника ~45%; Чешуя дрейка ~39%","Concept of ""Стая ржавых клыков"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Собачьи загоны рудников; шерсть густая, с железными вкраплениями; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 4 encounter presence, monster trophy beast, heroic scale creep, colder highlights, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"briar_troll_bud","Поросль шипастого тролля","4","apex_slice_t4","Нарезка с виверны ~80%; Жилье виверны ~58%; Смоляная пробка хищника ~45%; Чешуя дрейка ~39%","Concept of ""Поросль шипастого тролля"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Косолапый юнец большого рода троллей из колючих зарослей; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 4 encounter presence, monster trophy beast, heroic scale creep, colder highlights, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"elder_thorn_sentinel","Старый браменный часовой","5","brute_prize_t5","Ужин караванщика ~78%; Нарезка с виверны ~73%; Чешуя дрейка ~58%","Concept of ""Старый браменный часовой"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Полурастение‑хранитель торфов и грибных коридоров; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 5 encounter presence, eldritch predator, unnatural growths, ominous backlight, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"river_maw_spawn","Порождение речной пасти","5","brute_prize_t5","Ужин караванщика ~78%; Нарезка с виверны ~73%; Чешуя дрейка ~58%","Concept of ""Порождение речной пасти"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Слякотный хищник фарватеров и промоин; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 5 encounter presence, eldritch predator, unnatural growths, ominous backlight, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"gorge_stone_lurker","Каменный подкрад ущелья","5","brute_prize_t5","Ужин караванщика ~78%; Нарезка с виверны ~73%; Чешуя дрейка ~58%","Concept of ""Каменный подкрад ущелья"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Сшит из обломков и смолы русла — тяжёлый каменный хищник; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 5 encounter presence, eldritch predator, unnatural growths, ominous backlight, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
