category,id,name,tier,weight,value,prompt,negative
attachments,arrow_quiver,Колчан (стрелы),1,0.5,10,"Concept ""Колчан (стрелы)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,axe_loop,Петля (топор),1,0.2,8,"Concept ""Петля (топор)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,bolt_pouch,Подсумок (болты),1,0.3,8,"Concept ""Подсумок (болты)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,bow_sling,Перевязь (лук),1,0.3,12,"Concept ""Перевязь (лук)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,chest_pocket,Нагрудный карман,1,0.1,8,"Concept ""Нагрудный карман"", torso harness modular straps threaded clips climbing buckle tactical vest snippet; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,cooking_pot,Котелок,1,2,6,"Concept ""Котелок"", emphasis handheld toolkit readable silhouette compact bench fold hinges, iron grate kettle pans stacked crates skewers steam, modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,flint_tools,Кремнёвые инструменты,1,1,5,"Concept ""Кремнёвые инструменты"", emphasis handheld toolkit readable silhouette compact bench fold hinges, vise clamps rulers drawers pegboard folded bench legs sawdust, modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,hip_pouch,Поясная сумка,1,0.3,8,"Concept ""Поясная сумка"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,iron_hammer,Железный молот,1,2,10,"Concept ""Железный молот"", emphasis handheld toolkit readable silhouette compact bench fold hinges, forge tongs hammer anvil sparks soot, modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,knife_sheath,Ножны (нож),1,0.2,5,"Concept ""Ножны (нож)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
