category,id,name,tier,damageType,effectType,gridW,gridH,aspect,resolution,prompt,negative
throwables,clay_shrapnel_pot,Глиняный осколочный горшок,1,physical,damage,1,1,1:1,1024x1024,"Concept ""Глиняный осколочный горшок"", sealed clay shrapnel pot with twine fuse, chipped pottery, visible metal shards embedded, impact shards and kinetic fragmentation, circle area cue, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,throwing_knife_bundle,Связка метательных ножей,1,physical,damage,1,1,1:1,1024x1024,"Concept ""Связка метательных ножей"", bundle of three throwing knives bound by dark leather cord, balanced steel blades, fan arrangement, impact shards and kinetic fragmentation, single-target cue, humble frontier craft, worn cloth, dull leather, simple clay or iron fittings, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,fire_oil_flask,Фляга горючего масла,2,fire,damage,1,1,1:1,1024x1024,"Concept ""Фляга горючего масла"", flask of burning alchemical oil with waxed rag fuse, orange liquid, soot-black glass, contained flame and alchemical heat, circle area cue, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,venom_glass_vial,Стеклянная ядовитая склянка,2,poison,damage,1,1,1:1,1024x1024,"Concept ""Стеклянная ядовитая склянка"", thin green venom vial in protective wicker cage, skull charm, toxic glow restrained, toxic vapor and venomous green staining, single-target cue, reliable guild-apprentice craft, clean seams, bronze pins, functional finish, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,thunderstone,Громовой камень,3,lightning,damage,1,1,1:1,1024x1024,"Concept ""Громовой камень"", charged thunderstone wrapped in copper wire, blue-white arcs crawling over rough crystal, crackling charge and copper conductor detail, circle area cue, field-proven adventurer gear, reinforced details, readable silhouette, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,blessed_water_globe,Сфера освящённой воды,4,holy,damage,1,1,1:1,1024x1024,"Concept ""Сфера освящённой воды"", clear blessed water globe in brass reliquary cage, pale gold light, sacred wax seal, sacred flare, clean radiance, friendly-fire discipline when applicable, single-target cue, professional mercenary quality, polished steel fittings, careful packing, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,frostburst_flask,Склянка морозного разрыва,4,ice,damage,1,1,1:1,1024x1024,"Concept ""Склянка морозного разрыва"", frostburst glass flask, icy blue liquid, hoarfrost crust, sealed with silver cap, cold burst and frost crystal rim, cone area cue, professional mercenary quality, polished steel fittings, careful packing, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,dragonfire_bomb,Драконья огненная бомба,6,fire,damage,1,1,1:1,1024x1024,"Concept ""Драконья огненная бомба"", flask of burning alchemical oil with waxed rag fuse, orange liquid, soot-black glass, contained flame and alchemical heat, circle area cue, elite expedition quality, mithril or silver accents, faint magical residue, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,void_splinter_grenade,Граната осколков Пустоты,8,shadow,damage,1,1,1:1,1024x1024,"Concept ""Граната осколков Пустоты"", void splinter grenade, black glass orb with purple cracks, shard cage, drifting dark motes, void splinters, cursed darkness, unstable occult containment, circle area cue, artifact-grade craft, starmetal glints, celestial or void-touched materials, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,sunburst_phial,Фиал солнечной вспышки,9,holy,damage,1,1,1:1,1024x1024,"Concept ""Фиал солнечной вспышки"", clear blessed water globe in brass reliquary cage, pale gold light, sacred wax seal, sacred flare, clean radiance, friendly-fire discipline when applicable, circle area cue, legendary relic quality, ornate sacred geometry, strong but contained aura, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
throwables,genesis_star_bomb,Звёздная бомба Генезиса,10,true,damage,1,1,1:1,1024x1024,"Concept ""Звёздная бомба Генезиса"", mythic star bomb, miniature astrolabe casing around luminous star core, impossible prismatic metal, reality-breaking star impact, rare artifact danger, circle area cue, mythic relic presence, impossible materials, reality ripple kept subtle, balanced square inventory composition, 1024x1024, single isolated fantasy RPG inventory icon, centered, full object visible, transparent or plain dark background, sharp focus, painterly detailed illustration, readable at small Tarkov-style inventory cell size --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple unrelated objects, cluttered background, human hands, human face, character portrait, modern plastic, hospital equipment, sci-fi device, nsfw"
