type,catalogId,name,tierHint,pools,prompt,negative
food,caravan_roast,Ужин караванщика,5,brute_prize_t5,"Concept ""Ужин караванщика"", monster harvest butcher fantasy — dense haunch steak marbling sinew ribbons field salt, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood caravan-hunted prize cuts hardened scales hoard, tier 5 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
food,game_meat_raw,Сырая дичь,1,predator_scrap_t1;vermin_bundle_t1,"Concept ""Сырая дичь"", monster harvest butcher fantasy — dense haunch steak marbling sinew ribbons field salt, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood vermin scrap ash-bog grit humble hunt yield, tier 1 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
food,game_meat_rich,Плотная дичь,3,alpine_harvest_t3;brute_carve_t2;pack_leader_t3;wetland_glean_t2,"Concept ""Плотная дичь"", monster harvest butcher fantasy — dense haunch steak marbling sinew ribbons field salt, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood alpine pack-beast alpha musk trophy read, tier 3 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
food,highland_grub_haunch,Окорок горного трутня,3,alpine_harvest_t3,"Concept ""Окорок горного трутня"", monster harvest butcher fantasy — chitinous grub haunch segmented meat pale marrow seam fantasy insect quarry cut, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood alpine pack-beast alpha musk trophy read, tier 3 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
food,serpent_fillet_raw,Сырое филе змея,2,wetland_glean_t2,"Concept ""Сырое филе змея"", monster harvest butcher fantasy — serpent fillet translucent jelly ichor sheen scale-side muscle striation, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood wetland predator trail dressing damp moss, tier 2 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
food,wyvern_stringy_cut,Нарезка с виверны,10,apex_slice_t4;beast_lord_t7;beast_lord_t8;beast_lord_t9;brute_prize_t5;kaiju_shard_t6;primordial_harvest_t10,"Concept ""Нарезка с виверны"", monster harvest butcher fantasy — dense haunch steak marbling sinew ribbons field salt, oiled cloth or rough wooden board NOT banquet china, coarse salt and twine, single isolated fantasy RPG food ingredient from monster carcass, centered, transparent or plain dark background, square inventory icon, no hands, sharp focus, painterly, controlled mild gore only if meat, mood primordial kaiju apex colossus reagent avalanche, tier 10 quarry read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,alpha_musk_gland,Железа вожака,10,beast_lord_t9;pack_leader_t3;primordial_harvest_t10,"Concept ""Железа вожака"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, primordial kaiju apex colossus reagent avalanche atmosphere, tier 10 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,animal_hide,Шкура зверя,1,predator_scrap_t1,"Concept ""Шкура зверя"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, vermin scrap ash-bog grit humble hunt yield atmosphere, tier 1 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,avian_keel_bone,Киль птицеящера,3,alpine_harvest_t3,"Concept ""Киль птицеящера"", fantasy harvest material — lightweight beast bone keel ridge marrow hollow, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, alpine pack-beast alpha musk trophy read atmosphere, tier 3 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,beast_sinew_spool,Жильё зверя,1,predator_scrap_t1;vermin_bundle_t1,"Concept ""Жильё зверя"", fantasy harvest material — fibrous tendon coil stripped sinew filament spool cue, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, vermin scrap ash-bog grit humble hunt yield atmosphere, tier 1 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
